S:NO,Comment
1,Thanks bro
2,Not enough Ghee or butter.....sorry
3,I spent the last week searching for and gathering all the spices 😂 all I’m missing is the chili powder. I’m gonna make this tomorrow! Can’t wait
4,Awesome recipe i tried it today cooked this for family all enjoyed eating this but only one thing i need to tell others who are thinking to try this recipe just use less tomato rest go as showed in the video 🌝<br>Very tast 4star rating from mine side ❤
5,Quantity kon batayega?
6,What kind of cream
7,I follow your recipe my children likes it so much thank you
8,It&#39;s overrated.
9,Why is cream solid?🤯
10,Bezubaan janwaar ko maarne ke baad..uski laash ko khaana ... without any hesitation....how simply this guy is menaging...like nothing wrong he is doing..like nothing happen and cant see cruelity behind this...and enjoying while cooking
11,Delicious
12,Sigh... indian food just be too complicated. 50 ingridients and too many steps.
13,"This is the first I’ve seen it being made without yogurt. I’ll try it, thanks!"
14,Bhai hindi 😢😢😢😢😢😢😢👎👎👎👎
15,u did not fucken say how many tomatoes u took or mazement for anything. ur recipes are normally good but this shit. sorry but its the truth.
16,can I give a big shout out.... I FREAKIN LOVE INDIAN FOOD !! 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
17,malt WHAT?!
18,Watching in 2023...44M views😂😂😂...americans r crazy over butter chicken
19,Ok I made this finally today. It was yummy but curious why it tasted somewhat sweet. I only put a tiny pinch of it. Will make again as it was so easy
20,Water how many ml?
21,Recipe to die for .Absolutely delicious.Never will I use the sauce bought in supermarkets again!!!My wife was in awe and licking her lips.......
22,I accept it
23,How much water? He just says “some” in the video and the written instructions
24,Tried this recipe today.. it was awesome 👌 ❤
25,സൂപ്പർ റെസിപി
26,Woww it turned out delicious ..😋 i made it for my family they loved itt thankuu cheff ❤
27,Hindi me boll de gelchode
28,Best recipe 💗
29,I&#39;m drooling.... Yum!
30,Wow this video must have made this dude lots of $
31,Can u add some coconut milk👀
32,ماشاءالله لزيز ممكن المحتويات بالعربي لو تكرمتم
33,"Unless the chicken has bones, it’s not the chicken for butter chicken just as if the chicken is not tandoor-flamed, it’s not the butter chicken, that we all love. Since tandoor is not common, stir frying strips of little chicken pieces is NOT butter chicken material and option.<br><br>Yours is just another variation of butter chicken that people starved of time and skill, would cook. <br><br>Thank you."
34,I love Indian cousins
35,"Aimple to understand and make, as a first time cook, it came out well, almost tasted like the restaurant Better butter chicken.  loved it"
